condition,position,frame,flow_u,flow_v,magnitude
REF,101,0,0.7710903,-1.6080626,0.5051661
REF,101,2,0.8557029,-1.4311653,0.4500219
REF,101,4,-1.8593919,-1.3947494,0.5325514
REF,101,6,-0.581655,2.659772,0.9992731
REF,101,8,-5.4830585,-3.1206322,0.6706131
REF,101,10,-2.3980927,-0.8646756,0.47379413
REF,101,12,-0.6798975,-1.2606596,1.1846266
REF,101,14,1.2027644,-1.1086653,0.34650174
REF,101,16,0.27875286,1.4945204,0.591526
REF,101,18,-0.6934818,-0.06538815,0.5240581
REF,101,20,-0.82210666,-0.36417803,0.3167599
REF,101,22,-0.69323754,0.018228598,0.31662014
REF,101,24,6.7869906,-1.1876851,0.97245777
REF,101,26,-0.49290064,0.46544167,0.38229162
REF,101,28,-0.257275,0.428871,0.3885091
REF,101,30,1.9785542,3.348276,1.9047148
REF,101,32,0.09252153,-0.2962726,0.5935706
REF,101,34,0.99650556,-2.696402,0.7598273
REF,101,36,0.34407684,-1.3520756,0.54852504
REF,101,38,-0.3326888,0.73140657,0.36268872
REF,101,40,-0.26455322,0.87162584,0.39195904
REF,101,42,-0.48676932,0.22498588,0.36797702
REF,101,44,-0.24805583,0.9130088,0.40873072
REF,101,46,1.7098033,2.0787885,0.8123706
REF,101,48,-1.016659,-1.0384929,0.50697
REF,101,50,-0.40414742,-0.92666143,0.6629266
REF,101,52,-0.3365737,-0.0038332075,0.43855363
REF,101,54,-4.6627502,2.138642,0.94191265
REF,101,56,-0.14890866,0.51073694,0.34709558
REF,101,58,0.5406868,-2.9095871,0.95039135
REF,101,60,-0.82400465,0.29915172,0.47951856
REF,101,62,-0.22592229,-0.71500176,0.6542594
REF,101,64,0.58940035,-1.5535198,0.52943766
REF,101,66,0.9355807,0.9375588,0.6196156
REF,101,68,-0.02217788,0.43480363,0.43582937
REF,101,70,-1.3964295,-2.2394853,0.68146664
REF,101,72,0.2782062,1.0429491,0.6661585
REF,101,74,-4.4290724,1.2261482,1.2617295
REF,101,76,1.1106129,0.97200114,1.0359873
REF,101,78,-1.8843994,3.6164508,1.0778804
REF,101,80,-0.29486328,0.17061387,0.5297798
REF,101,82,1.7588526,4.6679616,1.1549119
REF,101,84,-0.46396753,0.06978312,0.4620448
REF,101,86,-0.9212485,0.14730313,0.7251146
REF,101,88,0.2430224,0.2681276,0.6774235
REF,101,90,-3.9750621,-8.286932,2.6679144
REF,101,92,-0.41767433,0.19332993,0.38952467
REF,101,94,-0.40390724,0.35166988,0.4443235
REF,101,96,-0.30244982,0.12564173,0.4048785
REF,101,98,1.4235125,0.5970729,1.1028416
REF,101,100,-0.030853065,-0.43309492,0.68250054
REF,101,102,-0.11106444,0.9224105,0.5165055
REF,101,104,-0.3851287,0.39101,0.5157523
REF,101,106,1.280703,-2.0868244,0.9018135
REF,101,108,-0.66158545,-0.067657955,0.60184264
REF,102,0,-0.6248978,0.95013887,0.3221939
REF,102,2,1.0811508,-0.10104805,0.4121196
REF,102,4,-1.0601381,-1.9687257,0.7751294
REF,102,6,0.57555264,1.1223406,0.5356082
REF,102,8,1.5300293,-0.6487402,0.33328316
REF,102,10,-0.7953701,-1.0571259,0.3378937
REF,102,12,-0.36646312,0.5652902,0.2782578
REF,102,14,-0.032389462,-0.2809978,0.26823533
REF,102,16,-0.2348665,-0.099852294,0.21171664
REF,102,18,-0.31058827,-0.21496241,0.2484573
REF,102,20,-0.6394918,0.43375352,0.27372643
REF,102,22,-0.12508987,-0.49518725,0.2897965
REF,102,24,0.6246617,-1.1438811,0.4066027
REF,102,26,0.12031614,-3.1915298,0.6290112
REF,102,28,-0.5427883,-1.0961032,0.31202123
REF,102,30,-0.11928668,0.6250467,0.3549167
REF,102,32,-0.22532387,-0.9873898,0.3880155
REF,102,34,-0.8943567,-3.6067982,1.0620934
REF,102,36,-0.59100556,-0.9719666,0.28856725
REF,102,38,-1.1304533,0.92482376,1.0980114
REF,102,40,-0.6455672,0.185831,0.27477196
REF,102,42,-0.1952424,0.87652093,0.34860525
REF,102,44,0.084661074,0.31509507,0.47553855
REF,102,46,0.06849539,0.35743213,0.41392836
REF,102,48,-0.32029694,-0.042326547,0.26901993
REF,102,50,-0.24192715,0.6235397,0.24141657
REF,102,52,-1.4195032,0.13265337,0.3799727
REF,102,54,-0.3123797,2.687852,0.6118039
REF,102,56,-0.4083905,0.20689417,0.2342259
REF,102,58,-0.41105753,0.3363985,0.3162899
REF,102,60,-0.8295089,-0.11136949,0.39254224
REF,102,62,0.4275146,0.24062368,0.57414436
REF,102,64,-0.40397477,-0.059136726,0.30918756
REF,102,66,0.8239042,0.3934757,0.6374996
REF,102,68,2.2458622,0.3910209,1.6306169
REF,102,70,-0.42057246,-0.6940371,0.5779022
REF,102,72,-0.68678993,0.8578574,0.87116295
REF,102,74,-0.03170186,2.9842222,0.8563785
REF,102,76,1.4932309,1.5600941,0.8453025
REF,102,78,0.14026488,4.6316323,1.1588097
REF,102,80,2.05675,-2.0241237,0.7058581
REF,102,82,-0.47054654,1.2975558,0.6356761
REF,102,84,-4.05302,4.4499574,1.2362138
REF,102,86,-0.3859662,-1.3037252,0.7544067
REF,102,88,0.49000153,0.66913164,0.645317
REF,102,90,-1.2399148,-2.2442183,1.2184569
REF,102,92,-1.2298611,-0.012302743,1.2298589
REF,102,94,-0.6815603,-2.5604408,1.0223305
