condition,position,frame,flow_u,flow_v,magnitude
RIF10,201,0,-1.1933415,-5.1337757,1.3527724
RIF10,201,2,-0.57969594,0.32118854,1.0040028
RIF10,201,4,-0.80310947,-1.7263845,1.5323919
RIF10,201,6,-0.71183205,-4.4769197,2.0785153
RIF10,201,8,2.46198,-4.0826774,1.7493265
RIF10,201,10,-0.6832214,-1.7566496,1.0194101
RIF10,201,12,-0.61914814,-0.46739152,0.5189837
RIF10,201,14,-0.6997668,-0.15232779,0.63244134
RIF10,201,16,0.15614189,1.5736057,1.8191128
RIF10,201,18,1.8980663,-2.8744278,1.3235527
RIF10,201,20,-0.42534134,-0.67725486,0.7629991
RIF10,201,22,-3.9252846,-2.7299747,1.8618245
RIF10,201,24,-0.8301088,-2.8615665,1.1718334
RIF10,201,26,-0.62872636,-0.16774355,0.9317206
RIF10,201,28,-0.6649918,0.53929996,1.01771
RIF10,201,30,3.2688532,-4.708858,7.825888
RIF10,201,32,-0.3907124,-2.3519914,2.5070233
RIF10,201,34,0.24887985,1.017387,0.81733644
RIF10,201,36,1.9670253,-0.036629308,1.325978
RIF10,201,38,-0.07196706,2.7035859,0.9947901
RIF10,201,40,-1.4173857,-3.3533876,1.3256111
RIF10,201,42,-0.8109969,0.056806065,0.68098825
RIF10,201,44,-0.67646587,0.08882344,0.5327584
RIF10,201,46,-0.9651827,-0.4745551,0.79025596
RIF10,201,48,0.41497043,0.0402692,1.0941837
RIF10,201,50,-0.039443504,0.4463778,1.1052833
RIF10,201,52,-3.2584677,0.7791208,2.5418687
RIF10,201,54,3.4738894,0.97322345,2.1241565
RIF10,201,56,2.5146844,4.4567065,1.3968638
RIF10,201,58,-0.17852761,6.712034,3.324395
RIF10,201,60,1.3741581,-1.3096397,1.3974932
RIF10,201,62,-0.88352627,-0.045261145,0.6686449
RIF10,201,64,0.3884169,-0.8695642,0.5700345
RIF10,201,66,0.068275616,-1.3819592,0.8831439
RIF10,201,68,-0.8603874,-1.1068578,0.6941938
RIF10,201,70,-1.737012,-1.4642121,1.3355092
RIF10,201,72,0.9941417,-3.418135,3.8659985
RIF10,201,74,-0.38302386,-0.6090257,0.7272512
RIF10,201,76,-0.26327196,0.3629816,0.48331615
RIF10,201,78,-0.19638787,-0.1445536,0.5289173
RIF10,201,80,0.90506065,-0.8805278,1.2288985
RIF10,201,82,3.576047,-2.237783,2.3566773
RIF10,201,84,0.9965314,0.36895397,0.62509626
RIF10,201,86,0.51497245,0.6401144,0.5775478
RIF10,201,88,2.0238662,-0.24939004,2.5834906
RIF10,201,90,-1.1252582,-1.6631957,1.9659133
RIF10,201,92,2.7979918,-1.1766165,2.502096
RIF10,201,94,-0.058959614,-0.17371939,1.0404654
RIF10,201,96,0.8521483,-0.31174526,0.44185063
RIF10,201,98,-0.2599995,-0.043849878,0.33163092
RIF10,201,100,-0.3211613,-0.25944105,0.4418979
RIF10,201,102,-0.8288804,-6.070802,0.8073936
RIF10,201,104,0.029738238,0.24213712,0.34578797
RIF10,201,106,2.0829165,-1.0944526,1.1955295
RIF10,201,108,0.5966561,-0.11884979,0.7196978
RIF10,202,0,2.986803,-3.9191647,1.1775854
RIF10,202,2,0.6167784,0.5751048,0.43122143
RIF10,202,4,0.49466655,1.7306921,0.44706926
RIF10,202,6,-0.077651836,0.54912716,0.28691304
RIF10,202,8,0.6862197,-0.20244947,0.39694366
RIF10,202,10,4.5048547,-5.162045,1.1719913
RIF10,202,12,0.18117695,-0.52152073,0.40591347
RIF10,202,14,4.012582,-0.81587666,0.6487336
RIF10,202,16,4.6755776,8.231942,1.1022309
RIF10,202,18,-0.45536658,-0.48197153,0.37652764
RIF10,202,20,1.1635777,-2.7959652,0.76096475
RIF10,202,22,1.7340535,-0.9830296,0.75211847
RIF10,202,24,-0.77608645,1.401957,0.6092217
RIF10,202,26,-4.221085,4.063319,0.8640087
RIF10,202,28,-1.125419,1.5292808,0.5993988
RIF10,202,30,1.7357104,-4.5537496,4.333448
RIF10,202,32,-0.94528186,-3.2728572,1.7844398
RIF10,202,34,-0.60512775,0.23707144,0.45570508
RIF10,202,36,-0.49955642,0.7502382,0.6957947
RIF10,202,38,0.516302,-0.2639381,0.4425291
RIF10,202,40,1.0110401,-1.4920449,1.0153689
RIF10,202,42,0.8366327,0.5826774,0.4773266
RIF10,202,44,-0.5090716,-0.045940626,0.43179086
RIF10,202,46,1.4226466,-3.5295959,1.2739929
RIF10,202,48,0.789636,1.061239,0.43108073
RIF10,202,50,-0.075443,0.00786449,0.33136165
RIF10,202,52,-0.09377663,-0.124242485,0.2387839
RIF10,202,54,-0.05507725,0.53712595,0.379762
RIF10,202,56,-0.04799213,0.059188176,0.18932985
RIF10,202,58,-0.17033644,-0.21690474,0.21959393
RIF10,202,60,-0.3548994,0.8285046,0.4940905
RIF10,202,62,-0.64013034,-0.33841622,0.38608637
RIF10,202,64,-0.0046703815,-0.17632946,0.27773523
RIF10,202,66,-0.086861014,-0.10306265,0.2113419
RIF10,202,68,-0.3714286,-0.24809252,0.31192058
RIF10,202,70,-0.4777376,0.22023481,0.3238391
RIF10,202,72,-0.6229074,-0.4325009,0.35073635
RIF10,202,74,0.9087759,-1.8693703,0.6666656
RIF10,202,76,-2.486805,-4.8515396,0.95885223
RIF10,202,78,-0.23883417,0.07541464,0.25337294
RIF10,202,80,0.14884289,0.26050296,0.2878851
